planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,dataset,output_tag,seed,budget,horizon,gamma,action_library,action_count,exploration,reward_bias,dynamics_bias,uncertainty_pocket,start_label,episode_true_return,episode_max_pocket_score,simulations,tree_nodes,search_concentration,adaptive_search,root_value,episode_model_steps,episode_steps
uct_mcts,-10.605929658522054,-10.91035743344906,-10.917725546589182,0.007368113140122645,0.007056867414165196,0.19047142278602824,0.001050212884836513,0.004660885154064789,0.004655334862654035,0.8731938886669351,256.0,,,horizon_budget_sweep,h8_b256,2,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,36.0,37.0,0.2222222222222222,1.0,-14.538035562576889,,
uncertainty_mcts_240,-14.193271842061819,-15.743293480693698,-15.743293488574345,7.880647245883665e-09,3.303198449859934e-09,0.18654622381369734,8.838494498298919e-10,1.7096392201257124e-09,1.7096392201257124e-09,1.879606303435595,256.0,,,horizon_budget_sweep,h8_b256,2,256,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,37.0,38.0,0.5405405405405406,1.0,-14.807644885771971,,
static_rollout_pool,-11.776328193489794,-11.776328193489794,-11.776377509862382,4.931637258742683e-05,2.835213826792634e-05,0.1865630222643362,6.211064589361241e-06,1.647207110641778e-05,1.6472023528847518e-05,1.4234312653231604,768.0,96.0,1.0,horizon_budget_sweep,h8_b768,0,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-12.446573514982799,-10.382528628241296,-10.382642941987733,0.00011431374643677827,7.524643987944127e-05,0.1865897337756072,1.4421324564299142e-05,1.688302309093385e-05,1.6882001977354172e-05,0.9273724469812554,768.0,,,horizon_budget_sweep,h8_b768,0,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,147.0,148.0,0.8231292517006803,1.0,-12.919309561916542,,
uncertainty_mcts_240,-12.73321787753378,-10.608599118904472,-10.66820983159837,0.05961071269389784,0.05841024259305138,0.21988662261389497,0.009892181904104177,0.04323305861759116,0.042907315728594284,1.0488182184821169,768.0,,,horizon_budget_sweep,h8_b768,0,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,148.0,149.0,0.831081081081081,1.0,-13.171628443708261,,
static_rollout_pool,-11.391643545744312,-11.391643545744312,-11.421752993703528,0.030109447959215885,0.029309086871355812,0.20362420490815558,0.005626481699920124,0.021051531005715402,0.020912189006381098,1.2104407879563244,768.0,96.0,1.0,horizon_budget_sweep,h8_b768,1,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-12.654297714827447,-10.375414764994547,-10.376001632094608,0.0005868671000612835,0.0005594299647063395,0.18685537027736138,7.96826779712841e-05,0.00036433960375045304,0.000364288076147753,0.8217425106032241,768.0,,,horizon_budget_sweep,h8_b768,1,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,142.0,143.0,0.823943661971831,1.0,-13.012134172780963,,
uncertainty_mcts_240,-12.013657710431628,-10.60799020244508,-10.60830151675338,0.00031131430830022566,0.00018979543750184346,0.18665702189669944,3.837732039087587e-05,8.890226720339453e-05,8.890034352100477e-05,0.9840040282884108,768.0,,,horizon_budget_sweep,h8_b768,1,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,171.0,172.0,0.9005847953216374,1.0,-12.347486478025557,,
static_rollout_pool,-12.397961399671308,-12.397961399671308,-12.397962289630822,8.899595140832162e-07,6.923540331004693e-07,0.18654663162340787,1.508890333057444e-07,2.6984845287362665e-07,2.6984809014343985e-07,1.3462419825010379,768.0,96.0,1.0,horizon_budget_sweep,h8_b768,2,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-12.397541078166704,-10.21897169638536,-10.219953793542432,0.0009820971570722037,0.0006864521549079373,0.18693959412215497,0.0001246609357356401,0.00015858480132906403,0.0001584927419725573,0.8675506162599372,768.0,,,horizon_budget_sweep,h8_b768,2,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,148.0,149.0,0.8175675675675675,1.0,-12.841774739750049,,
